"","xMin","xMax","yMin","yMax","shotPercentage"
"662",-30,-20,10,20,43.0355427473583
"663",-30,-20,20,30,39.1608391608392
"664",-30,-20,30,40,33.7142857142857
"665",-30,-20,40,50,34.9593495934959
"666",-30,-20,50,60,38.0392156862745
"667",-30,-20,60,70,42.1319796954315
"668",-30,-20,70,80,34.1317365269461
"669",-30,-20,80,90,43.6363636363636
"670",-30,-20,90,100,39.2307692307692
"671",-30,-20,100,110,35.8333333333333
"672",-30,-20,110,120,40.5940594059406
"673",-30,-20,120,130,47.6744186046512
"674",-30,-20,130,140,46.5753424657534
"675",-30,-20,140,150,45.1612903225806
"676",-30,-20,150,160,41.3223140495868
"677",-30,-20,160,170,40.6593406593407
"678",-30,-20,170,180,44.7916666666667
"679",-30,-20,180,190,50
"680",-30,-20,190,200,41.4634146341463
"681",-30,-20,200,210,37.5
"682",-30,-20,210,220,36.3636363636364
"683",-30,-20,220,230,57.1428571428571
"684",-30,-20,230,240,50
"685",-30,-20,240,250,40.6417112299465
"686",-30,-20,250,260,37.465564738292
"687",-30,-20,260,270,39.2344497607655
"688",-30,-20,270,280,27.9411764705882
"689",-30,-20,280,290,40.7407407407407
"690",-30,-20,290,300,14.2857142857143
"691",-20,-10,0,10,63.3058984910837
"692",-20,-10,10,20,55.2726085537055
"693",-20,-10,20,30,43
"694",-20,-10,30,40,42.9942418426104
"695",-20,-10,40,50,36.4942528735632
"696",-20,-10,50,60,40.8045977011494
"697",-20,-10,60,70,44.2857142857143
"698",-20,-10,70,80,35.8778625954198
"699",-20,-10,80,90,39.247311827957
"700",-20,-10,90,100,33.1428571428571
"701",-20,-10,100,110,42.8571428571429
"702",-20,-10,110,120,42.0634920634921
"703",-20,-10,120,130,45.5882352941176
"704",-20,-10,130,140,51.1111111111111
"705",-20,-10,140,150,43
"706",-20,-10,150,160,42.6573426573427
